Compute Board 4  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU Board 4 UPI  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU Board 4 DIMM | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
DMI Links        | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
SMBus Error      | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Left UPI MCI     | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Center UPI MCI   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Right UPI MCI    | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Diagnostic Panel | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Diag LCD Panel   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 0          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 1          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 2          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 3          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 4          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 5          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 6          | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 7          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 8          | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 9          | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 10         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 11         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 12         | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Drive 13         | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Drive 14         | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Drive 15         | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Drive 16         | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Drive 17         | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Drive 18         | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Drive 19         | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Drive 20         | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Drive 21         | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Drive 22         | na         | discrete   | na    | na        | na        | na        | na        | na        | na
Drive 23         | na         | discrete   | na    | na        | na        | na        | na        | na        | na
RAID Vol State   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Ext Drive        | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Ext Enclosure PS | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
RAID Log         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive Mismatch   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
System Air Flow  | 76.000     | CFM        | ok    | na        | na        | na        | na        | na        | na
Ambient Temp     | 23.000     | degrees C  | ok    | na        | na        | na        | 43.000    | 47.000    | 50.000
Exhaust Temp     | 38.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
CPU 1 Temp       | 59.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
CPU 1 DTS        | -41.600    | unspecified | ok    | na        | na        | na        | -0.600    | -0.200    | na
CPU 2 Temp       | 55.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
CPU 2 DTS        | -46.000    | unspecified | ok    | na        | na        | na        | -0.600    | -0.200    | na
CPU 3 Temp       | 54.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
CPU 3 DTS        | -46.800    | unspecified | ok    | na        | na        | na        | -0.600    | -0.200    | na
CPU 4 Temp       | 57.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
CPU 4 DTS        | -44.200    | unspecified | ok    | na        | na        | na        | -0.600    | -0.200    | na
CPU 5 Temp       | na         |            | na    | na        | na        | na        | na        | na        | na
CPU 5 DTS        | na         |            | na    | na        | na        | na        | na        | na        | na
CPU 6 Temp       | na         |            | na    | na        | na        | na        | na        | na        | na
CPU 6 DTS        | na         |            | na    | na        | na        | na        | na        | na        | na
CPU 7 Temp       | na         |            | na    | na        | na        | na        | na        | na        | na
